Formal Name	District	Chamber	First Name	Surname	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
Sen. Lisa Murkowski (R)	AKSR	Senator	Lisa	Murkowski	Republican	709 Hart Senate Office Building	202-224-6665	907-376-7665	http://www.murkowski.senate.gov/public/index.cfm/emaillisa	http://www.murkowski.senate.gov/public/
Sen. Dan Sullivan (R)	AKJR	Senator	Dan	Sullivan	Republican	B40A Dirksen Senate Office Building	202-224-3004	907-271-5915	N/A	N/A
Don Young (R-ALL)	AK00	Representative	Don	Young	Republican	2314 Rayburn House Office Building	202-225-5765	907-586-7400	http://donyoung.house.gov/contact/	http://donyoung.house.gov/
Sen. Richard Shelby (R)	ALSR	Senator	Richard	Shelby	Republican	304 Russell Senate Office Building	202-224-5744	334-223-7303	http://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby	http://www.shelby.senate.gov/public/
Sen. Jeff Sessions (R)	ALJR	Senator	Jeff	Sessions	Republican	326 Russell Senate Office Building	202-224-4124	334-244-7017	http://www.sessions.senate.gov/public/index.cfm/contact-jeff	http://www.sessions.senate.gov/public/
Bradley Byrne (R-01)	AL01	Representative	Bradley	Byrne	Republican	119 Cannon House Office Building	202-225-4931	251-943-2073	https://byrne.house.gov/contact/email-me	http://byrne.house.gov/
Martha Roby (R-02)	AL02	Representative	Martha	Roby	Republican	442 Cannon House Office Building	202-225-2901	334-428-1129	https://roby.house.gov/contact-me	http://roby.house.gov/
Mike Rogers (R-03)	AL03	Representative	Mike	Rogers	Republican	324 Cannon House Office Building	202-225-3261	256-236-5655	http://mikerogers.house.gov/contact-mike/email-me	http://mike-rogers.house.gov/
Robert B. Aderholt (R-04)	AL04	Representative	Robert	Aderholt	Republican	235 Cannon House Office Building	202-225-4876	205-221-2310	http://aderholt.house.gov/email-me2/	http://aderholt.house.gov/
Mo Brooks (R-05)	AL05	Representative	Mo	Brooks	Republican	1230 Longworth House Office Building	202-225-4801	256-355-9400	https://brooks.house.gov/email-me	http://brooks.house.gov/
Gary Palmer (R-06)	AL06	Representative	Gary	Palmer	Republican	2246 Rayburn House Office Building	202-225-4921	N/A	https://palmer.house.gov/contact	https://palmer.house.gov/
Terri A. Sewell (D-07)	AL07	Representative	Terri	Sewell	Democrat	1133 Longworth House Office Building	202-225-2665	334-262-1919	https://sewell.house.gov/email-me	http://sewell.house.gov/
Sen. John Boozman (R)	ARSR	Senator	John	Boozman	Republican	320 Hart Senate Office Building	202-224-4843	501-324-6336	http://www.boozman.senate.gov/public/index.cfm/e-mail-me	http://www.boozman.senate.gov/public/
Sen. Tom Cotton (R)	ARJR	Senator	Tom	Cotton	Republican	B33 Russell Senate Office Building	202-224-2353	870-536-3376	http://www.cotton.senate.gov/content/contact-tom	http://www.cotton.senate.gov/HomePage
Rick Crawford (R-01)	AR01	Representative	Rick	Crawford	Republican	1711 Longworth House Office Building	202-225-4076	501-843-3043	http://crawford.house.gov/contact/	http://crawford.house.gov
French Hill (R-02)	AR02	Representative	French	Hill	Republican	1232 Longworth House Office Building	202-225-2506	501-324-5941	https://hill.house.gov/contact/email	https://hill.house.gov/
Steve Womack (R-03)	AR03	Representative	Steve	Womack	Republican	1119 Longworth House Office Building	202-225-4301	479-424-1146	http://womack.house.gov/contact/	http://womack.house.gov/
Bruce Westerman (R-04)	AR04	Representative	Bruce	Westerman	Republican	130 Cannon House Office Building	202-225-3772	N/A	https://westerman.house.gov/contact/email	https://westerman.house.gov/
Del. Auma Amata Radewagen (R)	AS00	Delegate	Auma	Radewagen	Republican	1339 Longworth House Office Building	202-225-8577	N/A	https://radewagen.house.gov/contact/email	https://radewagen.house.gov/
Sen. John McCain (R)	AZSR	Senator	John	McCain	Republican	241 Russell Senate Office Building	202-224-2235	602-952-2410	http://www.mccain.senate.gov/public/index.cfm/contact-form	http://www.mccain.senate.gov/public/
Sen. Jeff Flake (R)	AZJR	Senator	Jeff	Flake	Republican	368 Russell Senate Office Building	202-224-4521	602-840-1891	http://www.flake.senate.gov/public/index.cfm/contact-jeff	http://www.flake.senate.gov/public/
Ann Kirkpatrick (D-01)	AZ01	Representative	Ann	Kirkpatrick	Democrat	330 Cannon House Office Building	202-225-3361	520-316-0839	https://kirkpatrick.house.gov/contact/email-me	http://kirkpatrick.house.gov/
Martha McSally (R-02)	AZ02	Representative	Martha	McSally	Republican	1029 Longworth House Office Building	202-225-2542	520-881-3588	https://mcsally.house.gov/contact/email	https://mcsally.house.gov/
Raul M. Grijalva (D-03)	AZ03	Representative	Raul	Grijalva	Democrat	1511 Longworth House Office Building	202-225-2435	928-343-7933	https://grijalvaforms.house.gov/email-raul	http://grijalva.house.gov/index.html
Paul A. Gosar (R-04)	AZ04	Representative	Paul	Gosar	Republican	504 Cannon House Office Building	202-225-2315	928-445-1683	http://paulgosar.house.gov/contact/	http://gosar.house.gov/
Matt Salmon (R-05)	AZ05	Representative	Matt	Salmon	Republican	2349 Rayburn House Office Building	202-225-2635	480-699-8239	https://salmon.house.gov/contact/email-me	http://salmon.house.gov/
David Schweikert (R-06)	AZ06	Representative	David	Schweikert	Republican	409 Cannon House Office Building	202-225-2190	480-946-2411	https://schweikert.house.gov/contact-form	https://schweikert.house.gov/
Ruben Gallego (D-07)	AZ07	Representative	Ruben	Gallego	Democrat	2465 Rayburn House Office Building	202-225-4065	602-256-0551	https://rubengallego.house.gov/contact/email	https://rubengallego.house.gov/
Trent Franks (R-08)	AZ08	Representative	Trent	Franks	Republican	2435 Rayburn House Office Building	202-225-4576	623-776-7911	https://franks.house.gov/contact-me/email-me	http://franks.house.gov/
Kyrsten Sinema (D-09)	AZ09	Representative	Kyrsten	Sinema	Democrat	1530 Longworth House Office Building	202-225-9888	602-956-2285	https://sinemaforms.house.gov/forms/writeyourrep/	http://sinema.house.gov/
Sen. Dianne Feinstein (D)	CASR	Senator	Dianne	Feinstein	Democrat	331 Hart Senate Office Building	202-224-3841	415-393-0707	https://www.feinstein.senate.gov/public/index.cfm/e-mail-me	http://www.feinstein.senate.gov/public/index.cfm
Sen. Barbara Boxer (D)	CAJR	Senator	Barbara	Boxer	Democrat	112 Hart Senate Office Building	202-224-3553	213-894-5000	https://www.boxer.senate.gov/contact/shareyourviews.html	http://www.boxer.senate.gov/
Doug LaMalfa (R-01)	CA01	Representative	Doug	LaMalfa	Republican	506 Cannon House Office Building	202-225-3076	530-534-7100	https://lamalfa.house.gov/contact/email-me	http://lamalfa.house.gov/
Jared Huffman (D-02)	CA02	Representative	Jared	Huffman	Democrat	1630 Longworth House Office Building	202-225-5161	707-407-3585	https://huffman.house.gov/contact/email-me	http://huffman.house.gov/
John Garamendi (D-03)	CA03	Representative	John	Garamendi	Democrat	2438 Rayburn House Office Building	202-225-1880	530-753-5301	https://garamendi.house.gov/contact-me/email-me	http://garamendi.house.gov/
Tom McClintock (R-04)	CA04	Representative	Tom	McClintock	Republican	434 Cannon House Office Building	202-225-2511	916-786-5560	https://mcclintockforms.house.gov/forms/contact-form.shtml	http://mcclintock.house.gov/
Mike Thompson (D-05)	CA05	Representative	Mike	Thompson	Democrat	231 Cannon House Office Building	202-225-3311	707-226-9898	http://mikethompson.house.gov/contact/email-me	http://mikethompson.house.gov/
Doris Matsui (D-06)	CA06	Representative	Doris	Matsui	Democrat	2434 Rayburn House Office Building	202-225-7163	916-498-5600	https://matsui.house.gov/email-representative-matsui	http://www.matsui.house.gov/
Ami B. Bera (D-07)	CA07	Representative	Ami	Bera	Democrat	1535 Longworth House Office Building	202-225-5716	916-635-0505	https://bera.house.gov/connect-with-me/email-ami	http://bera.house.gov/
Paul Cook (R-08)	CA08	Representative	Paul	Cook	Republican	1222 Longworth House Office Building	202-225-5861	760-247-1815	https://cook.house.gov/contact/email-me	http://cook.house.gov/
Jerry McNerney (D-09)	CA09	Representative	Jerry	McNerney	Democrat	1210 Longworth House Office Building	202-225-1947	209-476-8552	https://mcnerney.house.gov/contact/email-me	http://mcnerney.house.gov/
Jeff Denham (R-10)	CA10	Representative	Jeff	Denham	Republican	1730 Longworth House Office Building	202-225-4540	209-579-5458	https://denham.house.gov/contact-me/email-me	http://denham.house.gov
Mark DeSaulnier (D-11)	CA11	Representative	Mark	DeSaulnier	Democrat	327 Cannon House Office Building	202-225-2095	N/A	https://desaulnier.house.gov/contact/email	https://desaulnier.house.gov/
Nancy Pelosi (D-12)	CA12	Representative	Nancy	Pelosi	Democrat	235 Cannon House Office Building	202-225-4965	415-556-4862	http://pelosi.house.gov/contact-me/email-me	http://pelosi.house.gov/
Barbara Lee (D-13)	CA13	Representative	Barbara	Lee	Democrat	2267 Rayburn House Office Building	202-225-2661	510-763-0370	https://barbaralee.house.gov/contact/	http://lee.house.gov/
Jackie Speier (D-14)	CA14	Representative	Jackie	Speier	Democrat	2465 Rayburn House Office Building	202-225-3531	650-342-0300	https://forms.house.gov/speier/webforms/email_jackie.shtml	http://speier.house.gov/
Eric Swalwell (D-15)	CA15	Representative	Eric	Swalwell	Democrat	501 Cannon House Office Building	202-225-5065	925-460-5100	http://swalwell.house.gov/contact-me/email-eric/	http://swalwell.house.gov/
